#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     36        36       9      72831.26       1514.10    1122632.33      2.02728     -1.32347     0.0340     0.8520     0.0340
     36        36      12      72596.28       1514.10    1029115.41      1.79484     -0.83063     0.0540     0.7750     0.0540
     36        36      15      73478.84       1514.10    1085563.02      2.26154     -1.33752     0.0180     0.8630     0.0180
     37        37       3     109926.45      11158.40    1415109.33      0.28390     -2.90311     0.7140     0.9580     0.7140
     37        37       6     107013.69      11158.40     927445.23      0.23575     -0.74030     0.8150     0.7460     0.7460
     37        37       9     101162.49      11158.40     844769.52      0.28517     -0.28161     0.7750     0.6490     0.6490
     37        37      12     103273.70      11158.40     785723.85      0.40780      0.14910     0.6820     0.5150     0.5150
     37        37      15     101257.43      11158.40     977515.99      0.29996     -1.48581     0.7430     0.8870     0.7430
     38        38       3      97648.36       4766.34     450660.31      0.51308      1.77928     0.4860     0.2460     0.2460
     38        38       6      96935.49       4766.34     396686.16      0.81468      2.56713     0.3640     0.0490     0.0490
     38        38       9      95730.97       4766.34     773044.66      1.71376      0.46446     0.0600     0.4340     0.0600
     38        38      12      94472.33       4766.34     679673.70      2.30133      1.22115     0.0120     0.2170     0.0120
     38        38      15      93878.48       4766.34    1053442.61      0.77318     -1.73481     0.4450     0.9290     0.4450
     39        39       3      68216.78        536.04    1282623.90      0.28845     -1.57217     0.7050     0.8590     0.7050
     39        39       6      68837.95        536.04     984225.65      0.06662     -0.40078     0.9480     0.6880     0.6880
     39        39       9      69341.52        536.04    1055288.76      0.96050     -0.90884     0.3150     0.7850     0.3150
     39        39      12      69929.65        536.04     937715.18      0.92957     -0.19495     0.3170     0.5920     0.3170
     39        39      15      69874.97        536.04     893820.20      1.01931      0.12065     0.3080     0.5030     0.3080
     40        40       3      68162.51        536.04    1283926.82      0.13430     -1.57765     0.8600     0.8590     0.8590
     40        40       6      69029.37        536.04     922802.00      0.20743     -0.07291     0.8170     0.6110     0.6110
     40        40       9      69728.59        536.04     884255.88      0.68521      0.15476     0.4710     0.5290     0.4710
     40        40      12      69984.02        536.04     786230.55      0.63393      0.85861     0.5000     0.3010     0.3010
     40        40      15      69956.84        536.04     907860.59      1.46978      0.01387     0.1320     0.5360     0.1320
     41        41       3      71780.89        749.38     598472.10      0.93065      1.30926     0.2150     0.3620     0.2150
     41        41       6      71918.85        749.38     817192.62      0.84332      0.49340     0.3410     0.4320     0.3410
     41        41       9      72182.19        749.38     995236.38      1.33966     -0.53170     0.1530     0.7330     0.1530
     41        41      12      71355.14        749.38    1021169.67      1.01816     -0.77537     0.3000     0.7620     0.3000
     41        41      15      71468.37        749.38    1063345.95      1.32438     -1.16856     0.1780     0.8680     0.1780
     42        42       3      73863.65       2872.39    1158040.70      0.79822     -1.04483     0.2940     0.8080     0.2940
     42        42       6      72778.84       2872.39     854947.40      0.78189      0.29200     0.4050     0.5170     0.4050
     42        42       9      72655.28       2872.39    1057234.43      2.31028     -0.91702     0.0120     0.8130     0.0120
     42        42      12      72596.28       2872.39    1029115.41      1.79484     -0.83063     0.0660     0.7630     0.0660
     42        42      15      71851.82       2872.39    1050061.40      1.47442     -1.06754     0.1290     0.8080     0.1290
     43        43       3      12149.92       5736.28     267280.76      0.49198      2.47699     0.5130     0.1030     0.1030
     43        43       6      12027.82       5736.28     405733.40      0.51572      2.25411     0.5870     0.0600     0.0600
     43        43       9      14829.46       5736.28     722150.70      0.59150      0.26509     0.5380     0.4830     0.4830
     43        43      12      19105.22       5736.28     878344.89      1.09697     -1.00761     0.2770     0.8010     0.2770
     43        43      15      18616.73       5736.28     804246.95      1.72156     -0.42521     0.0780     0.6870     0.0780
     44        44       3     115367.63       2996.70     809189.09      0.33831     -0.21036     0.6720     0.6910     0.6720
     44        44       6     117676.33       2996.70     568499.86      1.00340      1.25602     0.2810     0.2630     0.2630
     44        44       9     119425.33       2996.70     697451.29      0.50443      0.51284     0.5860     0.4280     0.4280
     44        44      12     118130.92       2996.70     744209.19      0.06108      0.18822     0.9500     0.4910     0.4910
     44        44      15     120059.21       2996.70     753638.36      0.01110      0.12076     0.9930     0.5040     0.5040
     45        45       3      83922.78       3447.32    2031462.42      0.29838     -5.00846     0.7010     0.9950     0.7010
     45        45       6      84227.41       3447.32    1784883.35      0.27343     -4.99091     0.7570     1.0000     0.7570
     45        45       9      83726.93       3447.32    1448420.00      0.35852     -3.65281     0.7300     0.9940     0.7300
     45        45      12      83150.12       3447.32    1250904.70      0.46616     -2.66752     0.6430     0.9830     0.6430
     45        45      15      82079.21       3447.32    1124032.05      0.59593     -1.91928     0.5390     0.9410     0.5390
     46        46       3      32270.20       9982.44     619696.35      1.07125      0.80969     0.1510     0.4450     0.1510
     46        46       6      29578.34       9982.44     819251.74      0.98725     -0.33056     0.2780     0.6750     0.2780
     46        46       9      27716.72       9982.44     845277.86      1.18017     -0.57696     0.1860     0.7220     0.1860
     46        46      12      27253.23       9982.44     771241.38      1.37192     -0.03495     0.1580     0.5980     0.1580
     46        46      15      27180.49       9982.44     762276.84      0.82976      0.04264     0.4100     0.5350     0.4100
     47        47       3     118597.97        298.99     479810.66      0.20011      1.43305     0.7680     0.3010     0.3010
     47        47       6     119656.74        298.99     404476.32      0.20577      2.29374     0.8080     0.0660     0.0660
     47        47       9     122027.19        298.99     708923.87      1.17584      0.42828     0.1970     0.4280     0.1970
     47        47      12     120660.44        298.99     903437.33      1.73414     -1.12517     0.0530     0.8340     0.0530
     47        47      15     119848.18        298.99     973632.61      1.92579     -1.86341     0.0570     0.9260     0.0570
     48        48       3      83503.53       4013.14    1104306.19      0.14278     -0.97596     0.8510     0.8080     0.8080
     48        48       6      82658.03       4013.14     799614.62      0.92794      0.44285     0.3030     0.4660     0.3030
     48        48       9      80437.32       4013.14     642616.23      1.20535      1.52470     0.2060     0.1720     0.1720
     48        48      12      80595.77       4013.14     713837.31      0.59125      1.19413     0.5590     0.1840     0.1840
     48        48      15      79142.41       4013.14     825903.16      0.64696      0.42463     0.5330     0.4350     0.4350
     49        49       3      33979.43       1448.84     690969.61      0.34568      0.54475     0.6630     0.5200     0.5200
     49        49       6      33926.12       1448.84     629511.25      0.57019      0.96610     0.5360     0.3290     0.3290
     49        49       9      33672.21       1448.84     518395.62      1.00768      1.92482     0.2870     0.0970     0.0970
     49        49      12      34134.03       1448.84     594627.85      1.01496      1.65715     0.2510     0.1320     0.1320
     49        49      15      32563.38       1448.84     629605.09      0.73869      1.37643     0.4350     0.1820     0.1820
     50        50       3      80694.26       5076.13      92251.21      0.31944      3.42580     0.6750     0.0140     0.0140
     50        50       6      80548.94       5076.13     765585.17      1.15420      0.63052     0.2150     0.4120     0.2150
     50        50       9      79699.25       5076.13     845988.05      0.21928      0.21798     0.8300     0.5230     0.5230
     50        50      12      80064.52       5076.13    1190057.63      1.61932     -2.23001     0.0880     0.9680     0.0880
     50        50      15      79729.54       5076.13    1137364.01      1.33951     -2.02410     0.1690     0.9440     0.1690
     51        51       3      81023.51        208.45    1150386.93      0.14156     -1.17638     0.8370     0.8060     0.8060
     51        51       6      80317.66        208.45    1285638.01      0.79477     -2.23757     0.3600     0.9360     0.3600
     51        51       9      80543.30        208.45    1285577.39      0.25680     -2.60650     0.7800     0.9640     0.7800
     51        51      12      79488.43        208.45    1115034.07      0.06635     -1.69058     0.9480     0.8810     0.8810
     51        51      15      79018.38        208.45    1099311.07      0.19246     -1.72493     0.8360     0.9270     0.8360
     52        52       3      62837.49        415.10     260904.00      1.11956      2.72875     0.1530     0.0780     0.0780
     52        52       6      69150.63        415.10     307902.84      1.68669      3.20923     0.0580     0.0070     0.0070
     52        52       9      67117.53        415.10     444422.82      1.99190      2.88995     0.0380     0.0240     0.0240
     52        52      12      66880.35        415.10     503764.76      1.74929      2.82105     0.0630     0.0130     0.0130
     52        52      15      65118.67        415.10     535542.56      2.08026      2.84284     0.0320     0.0140     0.0140
     53        53       3      92798.75       2528.60     275278.21      0.28020      2.57619     0.6930     0.1150     0.1150
     53        53       6      93197.31       2528.60     179795.88      0.57085      3.81679     0.5230     0.0000     0.0000
     53        53       9      89051.01       2528.60     255793.03      1.12050      3.93662     0.2340     0.0000     0.0000
     53        53      12     101926.79       2528.60     220168.85      1.42613      4.59573     0.1490     0.0000     0.0000
     53        53      15      96209.16       2528.60     370900.50      1.20714      3.87146     0.1950     0.0010     0.0010
     54        54       3     141715.73       8904.71     534396.78      1.41217      1.02030     0.0610     0.4290     0.0610
     54        54       6     139194.56       8904.71     706723.90      1.13370      0.14609     0.2110     0.5150     0.2110
     54        54       9     134895.20       8904.71     781554.68      0.29413     -0.41041     0.7520     0.6850     0.6850
     54        54      12     132258.60       8904.71     736248.05      0.88108     -0.06588     0.3620     0.5910     0.3620
     54        54      15     131785.91       8904.71     726800.24      1.17064      0.01766     0.2350     0.5360     0.2350
     55        55       3     115572.51      26013.79     184825.62      0.72279      2.90485     0.3180     0.0540     0.0540
     55        55       6     104065.01      26013.79     164555.16      1.34246      3.86036     0.1380     0.0010     0.0010
     55        55       9      89656.28      26013.79     635152.58      0.63428      1.39009     0.4930     0.2040     0.2040
     55        55      12      82667.51      26013.79     770395.05      0.17042      0.78746     0.8540     0.3390     0.3390
     55        55      15      73069.45      26013.79     726848.87      0.36020      1.39043     0.7480     0.1460     0.1460
     56        56       3     127304.33        278.76     344831.22      0.97823      2.01592     0.1770     0.2000     0.1770
     56        56       6     126774.15        278.76     673657.55      0.46229      0.59072     0.6160     0.4580     0.4580
     56        56       9     127719.65        278.76     716246.41      0.34413      0.09632     0.7330     0.5510     0.5510
     56        56      12     128044.79        278.76     677183.61      1.12958      0.44696     0.2480     0.4270     0.2480
     56        56      15     128154.21        278.76     606685.27      1.35147      1.15804     0.1520     0.2220     0.1520
     57        57       3      35491.08       8573.19     631077.66      1.81683      0.82925     0.0170     0.4290     0.0170
