#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
    240       240      12      45303.76        108.69     539456.13      4.14878      2.29670     0.0000     0.0450     0.0000
    240       240      15      46401.51        108.69     528179.68      4.51188      2.60341     0.0000     0.0190     0.0000
    241       241       3      45708.51         57.25     453278.47      2.07685      1.77869     0.0090     0.2480     0.0090
    241       241       6      45289.59         57.25     575770.85      2.51801      1.55351     0.0050     0.2070     0.0050
    241       241       9      45020.11         57.25     593540.47      3.78997      1.69129     0.0000     0.1360     0.0000
    241       241      12      45303.76         57.25     539456.13      4.14878      2.29670     0.0000     0.0500     0.0000
    241       241      15      46401.51         57.25     528179.68      4.51188      2.60341     0.0000     0.0150     0.0000
    242       242       3      85763.64        622.60    2041865.13      1.71369     -5.05370     0.0280     0.9890     0.0280
    242       242       6      84227.41        622.60    1784883.35      0.27343     -4.99091     0.7590     0.9980     0.7590
    242       242       9      86104.05        622.60    1462774.91      0.43461     -3.74505     0.6530     0.9950     0.6530
    242       242      12      85302.68        622.60    1291782.68      0.07755     -2.96144     0.9280     0.9870     0.9280
    242       242      15      83966.84        622.60    1151444.93      0.13773     -2.13481     0.8930     0.9500     0.8930
    243       243       3      32415.89       1309.09     928524.80      0.23533     -0.69401     0.7620     0.7500     0.7500
    243       243       6      32762.96       1309.09     980634.71      2.28047     -1.20175     0.0150     0.8290     0.0150
    243       243       9      33935.56       1309.09     837715.81      2.51066     -0.37207     0.0060     0.6750     0.0060
    243       243      12      35325.70       1309.09     756514.12      3.39120      0.38585     0.0000     0.4560     0.0000
    243       243      15      36825.62       1309.09     834021.19      3.79044     -0.24364     0.0000     0.6280     0.0000
    244       244       3      32228.66       5163.30    1459037.35      0.47174     -3.27711     0.5340     0.9670     0.5340
    244       244       6      31765.22       5163.30    1042890.83      1.74878     -1.58612     0.0560     0.8930     0.0560
    244       244       9      34020.60       5163.30     925209.40      1.81872     -0.83903     0.0410     0.7720     0.0410
    244       244      12      35810.41       5163.30     878547.03      2.35730     -0.57248     0.0160     0.7160     0.0160
    244       244      15      37104.30       5163.30     790895.66      2.90760      0.12667     0.0040     0.5230     0.0040
    245       245       3      59713.93       2061.63     363738.82      1.56871      2.25968     0.0430     0.1540     0.0430
    245       245       6      60809.01       2061.63     993263.36      1.42750     -0.57433     0.1080     0.7010     0.1080
    245       245       9      57257.51       2061.63     826574.05      1.64870      0.39197     0.0780     0.4710     0.0780
    245       245      12      54422.17       2061.63     822296.01      2.81744      0.33352     0.0020     0.4610     0.0020
    245       245      15      52677.89       2061.63     818177.34      3.45429      0.39751     0.0000     0.4240     0.0000
    246       246       3      45916.16         57.25     363464.09      2.16551      2.18455     0.0040     0.1780     0.0040
    246       246       6      45289.59         57.25     575770.85      2.51801      1.55351     0.0030     0.1860     0.0030
    246       246       9      45020.11         57.25     593540.47      3.78997      1.69129     0.0000     0.1180     0.0000
    246       246      12      45303.76         57.25     539456.13      4.14878      2.29670     0.0000     0.0400     0.0000
    246       246      15      46401.51         57.25     528179.68      4.51188      2.60341     0.0000     0.0230     0.0000
    247       247       3      45916.16         52.21     363464.09      2.16551      2.18455     0.0070     0.1770     0.0070
    247       247       6      45289.59         52.21     575770.85      2.51801      1.55351     0.0030     0.2020     0.0030
    247       247       9      45020.11         52.21     593540.47      3.78997      1.69129     0.0000     0.1410     0.0000
    247       247      12      45303.76         52.21     539456.13      4.14878      2.29670     0.0000     0.0610     0.0000
    247       247      15      46401.51         52.21     528179.68      4.51188      2.60341     0.0000     0.0170     0.0000
    248       248       3      47987.72       3169.68     590972.21      0.23026      1.15645     0.7630     0.3720     0.3720
    248       248       6      43942.66       3169.68     627482.56      0.24718      1.25719     0.7830     0.2760     0.2760
    248       248       9      44920.20       3169.68     498896.75      0.39056      2.32312     0.6800     0.0520     0.0520
    248       248      12      44478.73       3169.68     562379.00      1.21545      2.12545     0.2000     0.0570     0.0570
    248       248      15      43610.54       3169.68     737236.93      2.09406      0.89568     0.0300     0.2910     0.0300
    249       249       3      36228.69       4011.71     419816.34      1.58714      1.83279     0.0330     0.2290     0.0330
    249       249       6      37542.79       4011.71     344211.93      3.10877      2.77940     0.0010     0.0370     0.0010
    249       249       9      37390.41       4011.71     621943.36      3.38011      1.28916     0.0000     0.2030     0.0000
    249       249      12      32188.72       4011.71     562536.49      3.67010      1.79867     0.0000     0.0960     0.0000
    249       249      15      27295.21       4011.71     503093.14      4.21118      2.38034     0.0000     0.0300     0.0000
    250       250       3      36228.69       4382.86     419816.34      1.58714      1.83279     0.0460     0.2630     0.0460
    250       250       6      37542.79       4382.86     344211.93      3.10877      2.77940     0.0010     0.0300     0.0010
    250       250       9      37390.41       4382.86     621943.36      3.38011      1.28916     0.0010     0.2150     0.0010
    250       250      12      34888.70       4382.86     596219.58      3.95659      1.64465     0.0000     0.1320     0.0000
    250       250      15      29609.02       4382.86     541323.34      4.51374      2.03552     0.0000     0.0690     0.0000
    251       251       3      38933.35        895.46     329183.67      1.58311      2.30180     0.0320     0.1600     0.0320
    251       251       6      38295.04        895.46     312511.64      2.91152      3.01667     0.0020     0.0210     0.0020
    251       251       9      37717.54        895.46     322973.36      4.23112      3.38720     0.0000     0.0060     0.0000
    251       251      12      34888.70        895.46     596219.58      3.95659      1.64465     0.0000     0.1200     0.0000
    251       251      15      29609.02        895.46     541323.34      4.51374      2.03552     0.0000     0.0700     0.0000
    252       252       3      38856.88        514.57     207235.89      2.06041      2.86683     0.0070     0.0740     0.0070
    252       252       6      38295.04        514.57     312511.64      2.91152      3.01667     0.0000     0.0200     0.0000
    252       252       9      37717.54        514.57     322973.36      4.23112      3.38720     0.0000     0.0030     0.0000
    252       252      12      34888.70        514.57     596219.58      3.95659      1.64465     0.0000     0.1240     0.0000
    252       252      15      29609.02        514.57     541323.34      4.51374      2.03552     0.0000     0.0640     0.0000
    253       253       3      38363.59        514.57     183178.31      2.09114      2.97830     0.0030     0.0460     0.0030
    253       253       6      38295.04        514.57     312511.64      2.91152      3.01667     0.0000     0.0240     0.0000
    253       253       9      37717.54        514.57     322973.36      4.23112      3.38720     0.0000     0.0040     0.0000
    253       253      12      34888.70        514.57     596219.58      3.95659      1.64465     0.0000     0.1160     0.0000
    253       253      15      29786.83        514.57     542614.12      4.41580      2.02388     0.0000     0.0610     0.0000
    254       254       3      38363.59        757.48     183178.31      2.09114      2.97830     0.0040     0.0550     0.0040
    254       254       6      38295.04        757.48     312511.64      2.91152      3.01667     0.0010     0.0210     0.0010
    254       254       9      37717.54        757.48     322973.36      4.23112      3.38720     0.0000     0.0060     0.0000
    254       254      12      34888.70        757.48     596219.58      3.95659      1.64465     0.0000     0.1350     0.0000
    254       254      15      29609.02        757.48     541323.34      4.51374      2.03552     0.0000     0.0710     0.0000
    255       255       3      35491.08      10303.42     631077.66      1.81683      0.82925     0.0190     0.4730     0.0190
    255       255       6      36927.34      10303.42     429732.55      3.32825      2.26428     0.0010     0.0760     0.0010
    255       255       9      37360.39      10303.42     400947.22      3.83472      2.84001     0.0000     0.0160     0.0000
    255       255      12      32434.07      10303.42     400891.00      4.43912      3.09983     0.0000     0.0050     0.0000
    255       255      15      27491.49      10303.42     372432.99      4.92317      3.55882     0.0000     0.0000     0.0000
    256       256       3      38363.59       1272.04     183178.31      2.09114      2.97830     0.0100     0.0530     0.0100
    256       256       6      38295.04       1272.04     312511.64      2.91152      3.01667     0.0010     0.0190     0.0010
    256       256       9      37717.54       1272.04     322973.36      4.23112      3.38720     0.0000     0.0030     0.0000
    256       256      12      34888.70       1272.04     596219.58      3.95659      1.64465     0.0000     0.1450     0.0000
    256       256      15      29786.83       1272.04     542614.12      4.41580      2.02388     0.0000     0.0630     0.0000
    257       257       3     185755.78       2401.80     161609.69      1.55836      2.90374     0.0440     0.0540     0.0440
    257       257       6     185502.51       2401.80     122874.82      2.62545      3.96259     0.0030     0.0000     0.0000
    257       257       9     184706.95       2401.80     177212.20      3.10010      4.15802     0.0000     0.0010     0.0000
    257       257      12     183356.63       2401.80     226287.94      3.22365      4.18955     0.0000     0.0000     0.0000
    257       257      15     179781.69       2401.80     213693.60      3.61427      4.71108     0.0000     0.0000     0.0000
    258       258       3     190204.40       6446.52     112299.87      1.39781      3.18545     0.0660     0.0410     0.0410
    258       258       6     187719.03       6446.52     128284.05      2.50424      3.92340     0.0050     0.0000     0.0000
    258       258       9     186423.57       6446.52     121156.33      3.22364      4.63113     0.0000     0.0000     0.0000
    258       258      12     182714.65       6446.52     204003.18      3.44649      4.40003     0.0020     0.0000     0.0000
    258       258      15     179781.69       6446.52     213693.60      3.61427      4.71108     0.0000     0.0000     0.0000
    259       259       3     185102.52       2736.43      35107.54      1.37970      3.62645     0.0720     0.0030     0.0030
    259       259       6     185502.51       2736.43     122874.82      2.62545      3.96259     0.0030     0.0020     0.0020
    259       259       9     184702.79       2736.43     199814.85      3.06091      3.96726     0.0030     0.0000     0.0000
    259       259      12     183356.63       2736.43     226287.94      3.22365      4.18955     0.0010     0.0000     0.0000
    259       259      15     179781.69       2736.43     213693.60      3.61427      4.71108     0.0000     0.0000     0.0000
    260       260       3     179463.82         25.06     156963.74      0.80508      2.93028     0.3000     0.0590     0.0590
    260       260       6     179927.11         25.06     200663.04      1.63980      3.39907     0.0700     0.0060     0.0060
    260       260       9     182018.28         25.06     252826.98      2.60729      3.51984     0.0070     0.0040     0.0040
    260       260      12     180821.73         25.06     224992.98      3.21623      4.20178     0.0010     0.0000     0.0000
    260       260      15     176527.45         25.06     237163.43      3.47258      4.46870     0.0000     0.0000     0.0000
    261       261       3     186200.64        567.90     142755.94      1.69909      3.01145     0.0310     0.0470     0.0310
    261       261       6     185502.51        567.90     122874.82      2.62545      3.96259     0.0090     0.0010     0.0010
    261       261       9     185639.61        567.90     127885.50      3.20351      4.57434     0.0000     0.0000     0.0000
    261       261      12     183356.63        567.90     226287.94      3.22365      4.18955     0.0030     0.0000     0.0000
    261       261      15     179781.69        567.90     213693.60      3.61427      4.71108     0.0000     0.0000     0.0000
    262       262       3     185233.67       2401.80     148192.07      1.58232      2.98039     0.0380     0.0530     0.0380
    262       262       6     185502.51       2401.80     122874.82      2.62545      3.96259     0.0010     0.0000     0.0000
    262       262       9     184706.95       2401.80     177212.20      3.10010      4.15802     0.0010     0.0000     0.0000
    262       262      12     183356.63       2401.80     226287.94      3.22365      4.18955     0.0010     0.0010     0.0010
    262       262      15     179781.69       2401.80     213693.60      3.61427      4.71108     0.0010     0.0000     0.0000
    263       263       3     188500.29        867.01     154530.09      1.62560      2.94418     0.0360     0.0590     0.0360
    263       263       6     186786.15        867.01     123469.18      2.66227      3.95828     0.0040     0.0000     0.0000
    263       263       9     185639.61        867.01     127885.50      3.20351      4.57434     0.0010     0.0000     0.0000
    263       263      12     183356.63        867.01     226287.94      3.22365      4.18955     0.0010     0.0000     0.0000
    263       263      15     179781.69        867.01     213693.60      3.61427      4.71108     0.0000     0.0000     0.0000
    264       264       3     186200.64       1869.42     142755.94      1.69909      3.01145     0.0180     0.0420     0.0180
    264       264       6     185502.51       1869.42     122874.82      2.62545      3.96259     0.0090     0.0000     0.0000
    264       264       9     185639.61       1869.42     127885.50      3.20351      4.57434     0.0010     0.0010     0.0010
    264       264      12     183356.63       1869.42     226287.94      3.22365      4.18955     0.0000     0.0000     0.0000
    264       264      15     179781.69       1869.42     213693.60      3.61427      4.71108     0.0000     0.0000     0.0000
    265       265       3     171429.72        529.55     299662.93      0.93407      2.11503     0.2310     0.1930     0.1930
    265       265       6     176140.95        529.55     214548.82      1.66673      3.29848     0.0650     0.0040     0.0040
    265       265       9     178854.73        529.55     206238.76      2.45173      3.91304     0.0050     0.0000     0.0000
    265       265      12     180821.73        529.55     224992.98      3.21623      4.20178     0.0000     0.0000     0.0000
    265       265      15     173078.50        529.55     236974.95      3.29938      4.47065     0.0000     0.0000     0.0000
    266       266       3     185249.24        567.90     107780.32      1.56600      3.21127     0.0330     0.0230     0.0230
    266       266       6     184533.16        567.90     125722.22      2.61813      3.94196     0.0020     0.0000     0.0000
    266       266       9     184706.95        567.90     177212.20      3.10010      4.15802     0.0020     0.0000     0.0000
    266       266      12     183356.63        567.90     226287.94      3.22365      4.18955     0.0000     0.0010     0.0000
    266       266      15     179781.69        567.90     213693.60      3.61427      4.71108     0.0010     0.0000     0.0000
    267       267       3     183341.03       2179.91      59798.00      1.39441      3.48539     0.0730     0.0080     0.0080
    267       267       6     184533.16       2179.91     125722.22      2.61813      3.94196     0.0040     0.0000     0.0000
    267       267       9     184702.79       2179.91     199814.85      3.06091      3.96726     0.0010     0.0000     0.0000
    267       267      12     183356.63       2179.91     226287.94      3.22365      4.18955     0.0010     0.0000     0.0000
    267       267      15     179781.69       2179.91     213693.60      3.61427      4.71108     0.0010     0.0000     0.0000
    268       268       3      32918.76         93.87     778849.57      0.25456      0.03476     0.7390     0.6290     0.6290
    268       268       6      33279.90         93.87     593933.63      0.38584      1.18576     0.6790     0.2550     0.2550
    268       268       9      32447.35         93.87     527532.81      1.05035      1.85910     0.2480     0.1270     0.1270
    268       268      12      32591.28         93.87     582468.22      0.94029      1.63823     0.3290     0.1360     0.1360
    268       268      15      32563.38         93.87     629605.09      0.73869      1.37643     0.4440     0.1570     0.1570
    269       269       3      64068.19      10112.39     858411.96      0.36626      0.21355     0.6360     0.6080     0.6080
    269       269       6      64523.33      10112.39     740142.45      0.30206      0.90207     0.7400     0.3580     0.3580
    269       269       9      65016.49      10112.39     791542.44      0.53708      0.73132     0.5680     0.3600     0.3600
    269       269      12      65861.41      10112.39     773623.69      0.13013      0.94308     0.8980     0.2800     0.2800
    269       269      15      65325.42      10112.39     738899.11      0.04583      1.29543     0.9560     0.1960     0.1960
    270       270       3      34219.79       1743.01     589388.79      0.36995      1.02728     0.6050     0.4080     0.4080
    270       270       6      33926.12       1743.01     629511.25      0.57019      0.96610     0.5380     0.3270     0.3270
    270       270       9      32447.35       1743.01     527532.81      1.05035      1.85910     0.2440     0.0930     0.0930
    270       270      12      34134.03       1743.01     594627.85      1.01496      1.65715     0.3150     0.1310     0.1310
    270       270      15      32563.38       1743.01     629605.09      0.73869      1.37643     0.4180     0.1680     0.1680
    271       271       3      30498.87       2243.76     242408.76      0.88883      2.64672     0.2480     0.0830     0.0830
    271       271       6      31204.27       2243.76     541549.78      0.87949      1.50918     0.3100     0.1870     0.1870
    271       271       9      32447.35       2243.76     527532.81      1.05035      1.85910     0.2800     0.1220     0.1220
    271       271      12      31083.00       2243.76     463988.52      1.29005      2.59193     0.1790     0.0230     0.0230
    271       271      15      32563.38       2243.76     629605.09      0.73869      1.37643     0.4790     0.1690     0.1690
    272       272       3      33911.55       2563.29     571015.18      0.33689      1.04672     0.6720     0.3950     0.3950
    272       272       6      34090.00       2563.29     614432.83      0.49452      1.15176     0.5660     0.3180     0.3180
    272       272       9      34017.60       2563.29     532744.33      1.14003      1.91512     0.2280     0.1100     0.1100
    272       272      12      34134.03       2563.29     594627.85      1.01496      1.65715     0.2890     0.1100     0.1100
    272       272      15      33314.65       2563.29     531672.26      1.10815      2.23840     0.2630     0.0480     0.0480
    273       273       3      34765.07       1527.00      44534.46      0.96978      3.61548     0.2240     0.0020     0.0020
    273       273       6      33552.54       1527.00     542104.55      0.90248      1.50575     0.2900     0.2230     0.2230
    273       273       9      34111.86       1527.00     656794.64      0.48405      1.04458     0.6020     0.2720     0.2720
    273       273      12      33413.70       1527.00     581959.16      0.83529      1.64233     0.3730     0.1500     0.1500
    273       273      15      32563.38       1527.00     629605.09      0.73869      1.37643     0.4390     0.1640     0.1640
    274       274       3      91788.55      12572.12     115307.72      0.91328      3.30308     0.2350     0.0240     0.0240
    274       274       6      78758.30      12572.12     607023.93      0.68305      1.50499     0.4440     0.1970     0.1970
    274       274       9      76138.82      12572.12     501606.22      0.96795      2.53620     0.2920     0.0400     0.0400
    274       274      12      65822.59      12572.12     506872.90      1.11039      2.79942     0.2550     0.0170     0.0170
    274       274      15      59241.82      12572.12     540818.26      1.15508      2.70543     0.2380     0.0120     0.0120
    275       275       3      32078.10       1658.70     632728.47      0.41225      0.74623     0.6100     0.4900     0.4900
    275       275       6      31577.86       1658.70     627203.41      0.54721      0.98035     0.5490     0.3400     0.3400
    275       275       9      32740.48       1658.70     523468.24      1.02952      1.88833     0.2620     0.1110     0.1110
    275       275      12      31803.33       1658.70     467792.66      1.49510      2.56131     0.1200     0.0320     0.0320
    275       275      15      30893.19       1658.70     532638.34      1.22124      2.22989     0.2070     0.0470     0.0470
    276       276       3      34200.56       9030.32      95633.49      0.93417      3.37274     0.2270     0.0120     0.0120
    276       276       6      36151.62       9030.32     584091.36      0.27300      1.33452     0.7550     0.2640     0.2640
    276       276       9      35326.46       9030.32     523386.91      0.92288      1.98078     0.3220     0.0920     0.0920
    276       276      12      34786.89       9030.32     468094.26      1.32064      2.65082     0.1650     0.0200     0.0200
    276       276      15      34258.25       9030.32     534795.48      1.22196      2.32576     0.2110     0.0460     0.0460
    277       277       3      32918.76       1239.41     778849.57      0.25456      0.03476     0.7100     0.6180     0.6180
    277       277       6      33926.12       1239.41     629511.25      0.57019      0.96610     0.5430     0.3420     0.3420
    277       277       9      32447.35       1239.41     527532.81      1.05035      1.85910     0.2830     0.0990     0.0990
    277       277      12      32591.28       1239.41     582468.22      0.94029      1.63823     0.3230     0.1480     0.1480
    277       277      15      32563.38       1239.41     629605.09      0.73869      1.37643     0.4430     0.1650     0.1650
    278       278       3     102590.55      20732.36     257298.57      0.79506      2.60334     0.2990     0.1170     0.1170
    278       278       6      94581.38      20732.36     233398.07      1.12467      3.50795     0.2180     0.0050     0.0050
    278       278       9      76118.96      20732.36     507776.60      0.99711      2.49786     0.2840     0.0340     0.0340
    278       278      12      66217.69      20732.36     500800.02      1.07443      2.84168     0.2740     0.0150     0.0150
    278       278      15      59775.69      20732.36     536122.94      1.12313      2.74200     0.2420     0.0120     0.0120
    279       279       3       9379.37        307.04      97143.11      1.17624      3.33636     0.1310     0.0270     0.0270
    279       279       6       7396.98        307.04     501678.89      1.66470      1.63960     0.0610     0.1720     0.0610
    279       279       9       8981.29        307.04     596683.51      1.06353      1.20131     0.2700     0.2470     0.2470
    279       279      12      12673.02        307.04     566131.47      1.12204      1.59945     0.2050     0.1470     0.1470
    279       279      15      15222.75        307.04     600797.55      1.26359      1.43238     0.1830     0.1530     0.1530
    280       280       3       9379.37        298.97      97143.11      1.17624      3.33636     0.1160     0.0130     0.0130
    280       280       6       7396.98        298.97     501678.89      1.66470      1.63960     0.0740     0.1830     0.0740
    280       280       9       8981.29        298.97     596683.51      1.06353      1.20131     0.2400     0.2440     0.2400
    280       280      12      12673.02        298.97     566131.47      1.12204      1.59945     0.2290     0.1320     0.1320
    280       280      15      15222.75        298.97     600797.55      1.26359      1.43238     0.2190     0.1650     0.1650
    281       281       3       7642.11       2529.37     162503.88      1.46803      3.00622     0.0420     0.0410     0.0410
    281       281       6       7396.98       2529.37     501678.89      1.66470      1.63960     0.0650     0.1960     0.0650
    281       281       9       8981.29       2529.37     596683.51      1.06353      1.20131     0.2450     0.2200     0.2200
    281       281      12      13361.48       2529.37     618794.45      1.41313      1.15970     0.1420     0.2360     0.1420
    281       281      15      15653.11       2529.37     662051.11      1.77908      0.87311     0.0640     0.2740     0.0640
    282       282       3       7721.17        319.22     172096.54      1.44714      2.95777     0.0710     0.0490     0.0490
    282       282       6       7396.98        319.22     501678.89      1.66470      1.63960     0.0670     0.1770     0.0670
    282       282       9       8981.29        319.22     596683.51      1.06353      1.20131     0.2620     0.2430     0.2430
    282       282      12      11508.02        319.22     590710.98      0.83388      1.39421     0.4190     0.1970     0.1970
    282       282      15      15222.75        319.22     600797.55      1.26359      1.43238     0.2160     0.1560     0.1560
    283       283       3      80758.41       7270.02     240700.93      0.85141      2.78014     0.2710     0.0790     0.0790
    283       283       6      84760.46       7270.02     295060.55      1.00630      3.22547     0.2560     0.0080     0.0080
    283       283       9      82150.27       7270.02     259356.79      1.17997      3.98725     0.2160     0.0000     0.0000
    283       283      12      70669.88       7270.02     667547.11      0.12114      1.68405     0.8880     0.1110     0.1110
    283       283      15      64307.28       7270.02     809811.62      0.95540      0.75584     0.3270     0.3180     0.3180
    284       284       3      97632.11      11907.70      74342.69      0.31773      3.48922     0.6420     0.0110     0.0110
    284       284       6      92775.20      11907.70     169302.17      0.84978      3.87725     0.3710     0.0020     0.0020
    284       284       9      89051.01      11907.70     255793.03      1.12050      3.93662     0.2260     0.0010     0.0010
    284       284      12     101963.53      11907.70     219989.15      1.36229      4.59715     0.1690     0.0000     0.0000
    284       284      15      96322.03      11907.70     474906.00      0.79152      3.01718     0.4440     0.0020     0.0020
    285       285       3      88574.78       2642.94     437346.93      0.50952      1.92486     0.5140     0.2250     0.2250
    285       285       6      88492.05       2642.94     299117.12      0.98099      3.20309     0.2800     0.0060     0.0060
    285       285       9      89051.01       2642.94     255793.03      1.12050      3.93662     0.2080     0.0010     0.0010
    285       285      12      93388.72       2642.94     225079.74      1.39305      4.63602     0.1680     0.0000     0.0000
    285       285      15      89818.55       2642.94     373934.43      1.15943      3.84654     0.2230     0.0000     0.0000
    286       286       3      88762.51        114.35     273317.18      0.36161      2.58510     0.6440     0.0860     0.0860
    286       286       6      88492.05        114.35     299117.12      0.98099      3.20309     0.2450     0.0110     0.0110
    286       286       9      89051.01        114.35     255793.03      1.12050      3.93662     0.2300     0.0010     0.0010
    286       286      12      93388.72        114.35     225079.74      1.39305      4.63602     0.1570     0.0000     0.0000
    286       286      15      96209.16        114.35     370900.50      1.20714      3.87146     0.2170     0.0000     0.0000
    287       287       3      87918.30        114.35     151813.73      0.66384      3.16674     0.3870     0.0280     0.0280
    287       287       6      88492.05        114.35     299117.12      0.98099      3.20309     0.2550     0.0130     0.0130
    287       287       9      89051.01        114.35     255793.03      1.12050      3.93662     0.2160     0.0010     0.0010
    287       287      12      76414.49        114.35     482149.02      0.62638      2.97348     0.5050     0.0090     0.0090
    287       287      15      68902.97        114.35     744456.51      0.49866      1.25315     0.5950     0.1800     0.1800
    288       288       3      87918.30       2474.21     151813.73      0.66384      3.16674     0.3720     0.0250     0.0250
    288       288       6      88492.05       2474.21     299117.12      0.98099      3.20309     0.2740     0.0150     0.0150
    288       288       9      89051.01       2474.21     255793.03      1.12050      3.93662     0.2240     0.0000     0.0000
    288       288      12      93388.72       2474.21     225079.74      1.39305      4.63602     0.1510     0.0000     0.0000
    288       288      15      82356.28       2474.21     547816.01      0.47114      2.61098     0.6140     0.0150     0.0150
    289       289       3      87918.30       2359.87     151813.73      0.66384      3.16674     0.3650     0.0340     0.0340
    289       289       6      88492.05       2359.87     299117.12      0.98099      3.20309     0.2940     0.0160     0.0160
    289       289       9      89051.01       2359.87     255793.03      1.12050      3.93662     0.2190     0.0000     0.0000
    289       289      12      93388.72       2359.87     225079.74      1.39305      4.63602     0.1460     0.0000     0.0000
    289       289      15      82356.28       2359.87     547816.01      0.47114      2.61098     0.6210     0.0180     0.0180
    290       290       3      88409.33       2474.21     158353.53      0.65789      3.13829     0.4190     0.0220     0.0220
    290       290       6      90572.93       2474.21     231565.80      0.72386      3.51851     0.4230     0.0020     0.0020
    290       290       9      89051.01       2474.21     255793.03      1.12050      3.93662     0.2270     0.0000     0.0000
    290       290      12      93255.11       2474.21     351894.58      1.01670      3.68340     0.3040     0.0000     0.0000
    290       290      15      82222.20       2474.21     635748.01      0.03269      1.91965     0.9720     0.0970     0.0970
    291       291       3     140554.14       3182.66      50059.87      0.68786      3.56410     0.3780     0.0050     0.0050
    291       291       6     137820.92       3182.66     237772.71      1.17995      3.26921     0.2100     0.0090     0.0090
    291       291       9     150716.51       3182.66     191957.68      1.49988      4.07984     0.1100     0.0020     0.0020
    291       291      12     144446.14       3182.66     220512.89      1.62176      4.30357     0.0970     0.0000     0.0000
    291       291      15     133223.38       3182.66     232779.85      1.92258      4.70793     0.0590     0.0000     0.0000
    292       292       3     142105.54       1619.54      94725.43      0.63603      3.32951     0.3830     0.0170     0.0170
    292       292       6     150437.51       1619.54     204123.45      1.35595      3.41623     0.1170     0.0030     0.0030
    292       292       9     150716.51       1619.54     191957.68      1.49988      4.07984     0.1110     0.0000     0.0000
    292       292      12     152070.84       1619.54     198331.52      1.90855      4.50709     0.0430     0.0000     0.0000
    292       292      15     145756.01       1619.54     259590.22      2.27378      4.31366     0.0250     0.0000     0.0000
    293       293       3     142105.54       2398.32      94725.43      0.63603      3.32951     0.4170     0.0140     0.0140
    293       293       6     150437.51       2398.32     204123.45      1.35595      3.41623     0.1390     0.0080     0.0080
    293       293       9     150716.51       2398.32     191957.68      1.49988      4.07984     0.1280     0.0000     0.0000
    293       293      12     152070.84       2398.32     198331.52      1.90855      4.50709     0.0530     0.0000     0.0000
    293       293      15     145756.01       2398.32     259590.22      2.27378      4.31366     0.0230     0.0000     0.0000
    294       294       3     140554.14       2398.32      50059.87      0.68786      3.56410     0.3680     0.0020     0.0020
    294       294       6     137820.92       2398.32     237772.71      1.17995      3.26921     0.1900     0.0100     0.0100
    294       294       9     150716.51       2398.32     191957.68      1.49988      4.07984     0.1110     0.0000     0.0000
    294       294      12     144446.14       2398.32     220512.89      1.62176      4.30357     0.0860     0.0000     0.0000
    294       294      15     133223.38       2398.32     232779.85      1.92258      4.70793     0.0350     0.0000     0.0000
    295       295       3     176507.68        529.55      41767.88      0.63433      3.58840     0.4230     0.0030     0.0030
    295       295       6     176140.95        529.55     214548.82      1.66673      3.29848     0.0790     0.0030     0.0030
    295       295       9     179177.05        529.55     229973.20      2.53513      3.71272     0.0050     0.0030     0.0030
    295       295      12     180821.73        529.55     224992.98      3.21623      4.20178     0.0020     0.0000     0.0000
    295       295      15     176527.45        529.55     237163.43      3.47258      4.46870     0.0000     0.0000     0.0000
    296       296       3     176507.68         25.06      41767.88      0.63433      3.58840     0.4100     0.0040     0.0040
    296       296       6     176140.95         25.06     214548.82      1.66673      3.29848     0.0540     0.0060     0.0060
    296       296       9     179177.05         25.06     229973.20      2.53513      3.71272     0.0030     0.0010     0.0010
    296       296      12     180821.73         25.06     224992.98      3.21623      4.20178     0.0000     0.0000     0.0000
    296       296      15     176527.45         25.06     237163.43      3.47258      4.46870     0.0010     0.0000     0.0000
    297       297       3     176507.68        554.53      41767.88      0.63433      3.58840     0.4020     0.0020     0.0020
    297       297       6     176140.95        554.53     214548.82      1.66673      3.29848     0.0790     0.0070     0.0070
    297       297       9     179177.05        554.53     229973.20      2.53513      3.71272     0.0100     0.0000     0.0000
    297       297      12     180821.73        554.53     224992.98      3.21623      4.20178     0.0000     0.0000     0.0000
    297       297      15     176527.45        554.53     237163.43      3.47258      4.46870     0.0000     0.0000     0.0000
    298       298       3      32415.89       1092.29     928524.80      0.23533     -0.69401     0.7450     0.7360     0.7360
    298       298       6      31765.22       1092.29    1042890.83      1.74878     -1.58612     0.0510     0.8750     0.0510
    298       298       9      34558.18       1092.29     873459.86      2.76853     -0.47588     0.0040     0.6740     0.0040
    298       298      12      35376.22       1092.29     842609.43      2.78390     -0.29026     0.0040     0.6390     0.0040
    298       298      15      36877.88       1092.29     846489.04      3.60520     -0.35070     0.0000     0.6490     0.0000
    299       299       3      29161.21       4381.01     857730.54      0.28979     -0.45269     0.7040     0.7190     0.7040
    299       299       6      30139.07       4381.01     649663.85      0.43385      0.84168     0.6390     0.3660     0.3660
    299       299       9      33640.19       4381.01     557501.77      0.39669      1.64353     0.6880     0.1590     0.1590
    299       299      12      33641.37       4381.01     563575.05      0.29068      1.79031     0.7460     0.1170     0.1170
    299       299      15      36065.82       4381.01     634716.34      0.37345      1.46776     0.7170     0.1480     0.1480
